treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,agesq,re78sq,re75sq,educsq,ageboxcox,re78boxcox,re75boxcox,lnre78,lnre75,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17
1.0,26,1.0,0.0,0.0,0.0,0,10747,12,1,0,0.0,1.0,676,115498009,1,144,2.282415117138582,131.35677164161106,0.0,9.282381924841154,0.0,0,0,0,0,1,0,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,529,1,1,121,2.2242322106415826,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,41,0.0,0.0,0.0,0.0,0,5149,14,1,0,0.0,0.0,1681,26512201,1,196,2.4845689680746914,94.49834312914281,0.0,8.546557800046141,0.0,0,0,0,0,0,0,1,0,0,0
1.0,38,0.0,0.0,0.0,1.0,0,6408,9,1,0,0.0,0.0,1444,41062464,1,81,2.4523183949874965,104.24244252288882,0.0,8.765302488748196,0.0,0,1,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,1991,11,1,0,0.0,1.0,576,3964081,1,121,2.244618307819977,61.51784262012215,0.0,7.596392304064196,0.0,0,0,0,1,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,7867,6281,11,0,86537,0.0,0.0,1089,39450961,61889689,121,2.390904059683331,103.31136689009686,104.63356042116278,8.74528448245438,8.970432074329242,0,0,0,1,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,11163,10,1,0,0.0,1.0,324,124612569,1,100,2.102797552176702,133.60121510192192,0.0,9.320360017014732,0.0,0,0,1,0,0,0,0,0,0,0
1.0,29,1.0,0.0,1.0,1.0,0,9642,11,1,0,0.0,1.0,841,92968164,1,121,2.3328553384698867,125.14687468629317,0.0,9.173883834965567,0.0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,9897,11,1,0,0.0,1.0,625,97950609,1,121,2.2639829169036276,126.61400804990824,0.0,9.199986959896691,0.0,0,0,0,1,0,0,0,0,0,0
1.0,27,0.0,1.0,0.0,1.0,0,11142,10,1,0,1.0,0.0,729,124144164,1,100,2.299993162735131,133.48905068402487,0.0,9.31847703058076,0.0,0,0,1,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,16218,10,1,0,0.0,1.0,289,263023524,1,100,2.07346912282781,157.78663911308925,0.0,9.693877015504503,0.0,0,0,1,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,995,11,1,0,0.0,1.0,576,990025,1,121,2.244618307819977,44.78419911330434,0.0,6.902742737158593,0.0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,289,1,1,100,2.07346912282781,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1.0,26,1.0,0.0,1.0,1.0,2754,26372,11,0,30294,0.0,0.0,676,695482384,7584516,121,2.282415117138582,195.8273661893501,66.08374392868951,10.18005812023319,7.9208096792886,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,1.0,1.0,0,1574,11,1,0,0.0,1.0,625,2477476,1,121,2.2639829169036276,55.26978935465609,0.0,7.3613754289773485,0.0,0,0,0,1,0,0,0,0,0,0
1.0,20,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,400,1,1,144,2.1558451386170456,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
1.0,25,1.0,0.0,0.0,0.0,0,3191,12,1,0,0.0,1.0,625,10182481,1,144,2.2639829169036276,76.17982055414096,0.0,8.068089626278244,0.0,0,0,0,0,1,0,0,0,0,0
1.0,42,1.0,0.0,0.0,0.0,0,20505,14,1,0,0.0,1.0,1764,420455025,1,196,2.49467788908952,175.12812117606165,0.0,9.92842403782616,0.0,0,0,0,0,0,0,1,0,0,0
1.0,23,1.0,0.0,1.0,0.0,0,5911,12,1,0,0.0,1.0,529,34939921,1,144,2.2242322106415826,100.53691334714544,0.0,8.684570300824369,0.0,0,0,0,0,1,0,0,0,0,0
1.0,46,1.0,0.0,1.0,1.0,0,3094,8,1,0,0.0,1.0,2116,9572836,1,64,2.5323326581735732,75.12477778537917,0.0,8.037220031133012,0.0,1,0,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,576,1,1,100,2.244618307819977,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,1254,12,1,0,0.0,1.0,441,1572516,1,144,2.179972317170379,49.81004582567386,0.0,7.134093721192866,0.0,0,0,0,0,1,0,0,0,0,0
1.0,19,0.0,0.0,0.0,1.0,0,13188,9,1,0,0.0,0.0,361,173923344,1,81,2.1301824302037478,143.90748821013827,0.0,9.487062604191621,0.0,0,1,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,8061,8,1,0,0.0,1.0,289,64979721,1,64,2.07346912282781,115.52147048142514,0.0,8.9947928972836,0.0,1,0,0,0,0,0,0,0,0,0
1.0,18,0.0,1.0,1.0,1.0,0,2787,8,1,0,1.0,0.0,324,7767369,1,64,2.102797552176702,71.65745247547616,0.0,7.932721027481948,0.0,1,0,0,0,0,0,0,0,0,0
1.0,20,1.0,0.0,0.0,1.0,0,3972,11,1,0,0.0,1.0,400,15776784,1,121,2.1558451386170456,84.0867518332837,0.0,8.287025025165063,0.0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,1.0,1.0,0,0,11,1,0,0.0,1.0,625,1,1,121,2.2639829169036276,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,289,1,1,64,2.07346912282781,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,9,1,0,0.0,1.0,289,1,1,81,2.07346912282781,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,4843,12,1,0,0.0,1.0,529,23454649,1,144,2.2242322106415826,91.93256288256674,0.0,8.48528964240323,0.0,0,0,0,0,1,0,0,0,0,0
1.0,28,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,784,1,1,64,2.31678614295806,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
1.0,31,1.0,0.0,1.0,1.0,0,8087,11,1,0,0.0,1.0,961,65399569,1,121,2.3630349634285817,115.68795363423514,0.0,8.998013113095823,0.0,0,0,0,1,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,324,1,1,121,2.102797552176702,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,0.0,0,2348,12,1,0,0.0,1.0,625,5513104,1,144,2.2639829169036276,66.30333776468417,0.0,7.761319180947987,0.0,0,0,0,0,1,0,0,0,0,0
1.0,30,1.0,0.0,1.0,1.0,0,590,11,1,0,0.0,1.0,900,348100,1,121,2.3482553378921756,35.14399888897245,0.0,6.380122536899765,0.0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,289,1,1,100,2.07346912282781,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1.0,37,1.0,0.0,0.0,1.0,0,1067,9,1,0,0.0,1.0,1369,1138489,1,81,2.4408634917783916,46.24853367129882,0.0,6.9726062513017535,0.0,0,1,0,0,0,0,0,0,0,0
1.0,42,1.0,0.0,1.0,0.0,0,13167,14,1,0,0.0,1.0,1764,173369889,1,196,2.49467788908952,143.80535368652087,0.0,9.485468978356344,0.0,0,0,0,0,0,0,1,0,0,0
1.0,22,0.0,0.0,0.0,1.0,0,1048,11,1,0,0.0,0.0,484,1098304,1,121,2.2027226725952516,45.86764234314843,0.0,6.954638864880987,0.0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,289,1,1,64,2.07346912282781,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
1.0,29,1.0,0.0,0.0,1.0,0,1923,8,1,0,0.0,1.0,841,3697929,1,64,2.3328553384698867,60.552922967666305,0.0,7.56164174558878,0.0,1,0,0,0,0,0,0,0,0,0
1.0,28,1.0,0.0,0.0,1.0,2836,3196,10,0,28360,0.0,0.0,784,10214416,8042896,100,2.31678614295806,76.23371299601794,66.94381896875056,8.069655306886165,7.950149887652018,0,0,1,0,0,0,0,0,0,0
1.0,35,1.0,0.0,0.0,1.0,0,4666,10,1,0,0.0,1.0,1225,21771556,1,100,2.416764305626401,90.40670311522538,0.0,8.448057452581375,0.0,0,0,1,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,549,11,1,0,0.0,1.0,729,301401,1,121,2.299993162735131,33.980364465086275,0.0,6.3080984415095305,0.0,0,0,0,1,0,0,0,0,0,0
1.0,28,1.0,0.0,0.0,1.0,0,10694,9,1,0,0.0,1.0,784,114361636,1,81,2.31678614295806,131.06734081932257,0.0,9.277438115508676,0.0,0,1,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,729,1,1,121,2.299993162735131,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,29,1.0,0.0,0.0,0.0,0,7479,13,1,0,0.0,1.0,841,55935441,1,169,2.3328553384698867,111.71285810006178,0.0,8.919854372191667,0.0,0,0,0,0,0,1,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,9,1,0,0.0,1.0,729,1,1,81,2.299993162735131,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
1.0,46,1.0,0.0,0.0,0.0,0,647,13,1,0,0.0,1.0,2116,418609,1,169,2.5323326581735732,36.68866532009687,0.0,6.472346294500901,0.0,0,0,0,0,0,1,0,0,0,0
1.0,25,1.0,0.0,0.0,0.0,0,11965,12,1,0,0.0,1.0,625,143161225,1,144,2.2639829169036276,137.79930462595502,0.0,9.389741000342473,0.0,0,0,0,0,1,0,0,0,0,0
1.0,28,1.0,0.0,0.0,0.0,0,9598,15,1,0,0.0,1.0,784,92121604,1,225,2.31678614295806,124.89152711126398,0.0,9.169310022418191,0.0,0,0,0,0,0,0,0,1,0,0
1.0,31,1.0,0.0,0.0,1.0,1698,10363,9,0,15282,0.0,0.0,961,107391769,2883204,81,2.3630349634285817,129.24126546721982,53.3513210233481,9.245997049184217,7.437206366871292,0,1,0,0,0,0,0,0,0,0
1.0,25,0.0,0.0,0.0,1.0,0,18783,11,1,0,0.0,0.0,625,352801089,1,121,2.2639829169036276,168.43303624358015,0.0,9.84070748441342,0.0,0,0,0,1,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,0.0,0,18678,12,1,0,0.0,1.0,484,348867684,1,144,2.2027226725952516,168.01385515711343,0.0,9.835101639669663,0.0,0,0,0,0,1,0,0,0,0,0
1.0,21,1.0,0.0,0.0,1.0,0,0,9,1,0,0.0,1.0,441,1,1,81,2.179972317170379,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
1.0,40,1.0,0.0,0.0,1.0,0,23005,11,1,0,0.0,1.0,1600,529230025,1,121,2.4741513295833024,184.30853946317558,0.0,10.043466862589568,0.0,0,0,0,1,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,6456,11,1,0,0.0,1.0,484,41679936,1,121,2.2027226725952516,104.59164490033888,0.0,8.772765209949785,0.0,0,0,0,1,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,625,1,1,144,2.2639829169036276,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
1.0,27,1.0,0.0,1.0,1.0,934,1773,9,0,8406,0.0,0.0,729,3143529,872356,81,2.299993162735131,58.35439207699673,40.83791706076392,7.480428306074208,6.839476438228843,0,1,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,1.0,1.0,936,11233,10,0,9360,0.0,0.0,529,126180289,876096,100,2.2242322106415826,133.9742432951003,40.87725967446814,9.326611153641569,6.841615476477592,0,0,1,0,0,0,0,0,0,0
1.0,29,1.0,0.0,0.0,1.0,4398,0,10,0,43980,0.0,0.0,841,1,19342404,100,2.3328553384698867,0.0,81.17343860088081,0.0,8.388905171114706,0,0,1,0,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,0.0,0,2321,12,1,0,0.0,1.0,324,5387041,1,144,2.102797552176702,65.95634468889759,0.0,7.749753406274437,0.0,0,0,0,0,1,0,0,0,0,0
1.0,38,0.0,0.0,0.0,0.0,0,4941,12,1,0,0.0,0.0,1444,24413481,1,144,2.4523183949874965,92.76394420285908,0.0,8.50532301884575,0.0,0,0,0,0,1,0,0,0,0,0
1.0,27,1.0,0.0,0.0,0.0,0,0,13,1,0,0.0,1.0,729,1,1,169,2.299993162735131,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,729,1,1,64,2.299993162735131,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
1.0,38,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,1444,1,1,121,2.4523183949874965,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,23,0.0,1.0,0.0,1.0,0,3881,8,1,0,1.0,0.0,529,15062161,1,64,2.2242322106415826,83.21332872286354,0.0,8.263848131368906,0.0,1,0,0,0,0,0,0,0,0,0
1.0,26,1.0,0.0,0.0,1.0,0,17230,11,1,0,0.0,1.0,676,296872900,1,121,2.282415117138582,162.09268460861674,0.0,9.754407329521975,0.0,0,0,0,1,0,0,0,0,0,0
1.0,42,1.0,0.0,1.0,1.0,3058,1294,9,0,27522,0.0,0.0,1764,1674436,9351364,81,2.49467788908952,50.53232233947178,69.20297439332118,7.165493475060845,8.025516386489008,0,1,0,0,0,0,0,0,0,0
1.0,21,0.0,0.0,0.0,0.0,0,8048,12,1,0,0.0,0.0,441,64770304,1,144,2.179972317170379,115.43811584215986,0.0,8.99317889233952,0.0,0,0,0,0,1,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,625,1,1,64,2.2639829169036276,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
1.0,31,1.0,0.0,1.0,1.0,0,14509,11,1,0,0.0,1.0,961,210511081,1,121,2.3630349634285817,150.15763738831907,0.0,9.582524425515684,0.0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,289,1,1,100,2.07346912282781,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,2657,9970,8,0,21256,0.0,0.0,361,99400900,7059649,64,2.1301824302037478,127.03009406541977,65.04712620168792,9.207335862955883,7.884952945759814,1,0,0,0,0,0,0,0,0,0
1.0,29,1.0,0.0,0.0,0.0,679,17814,14,0,9506,0.0,0.0,841,317338596,461041,196,2.3328553384698867,164.5131836030068,35.356412902513625,9.787739943991815,6.520621127558696,0,0,0,0,0,0,1,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,625,1,1,121,2.2639829169036276,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,9983,12,1,0,0.0,1.0,441,99660289,1,144,2.179972317170379,127.10401195639471,0.0,9.208638925336425,0.0,0,0,0,0,1,0,0,0,0,0
1.0,44,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,1936,1,1,121,2.5140330956414987,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,385,8124,10,0,3850,0.0,0.0,361,65999376,148225,100,2.1301824302037478,115.92435468318607,27.265843209145714,9.002577922700276,5.953243334287785,0,0,1,0,0,0,0,0,0,0
1.0,25,0.0,0.0,0.0,0.0,0,5587,12,1,0,0.0,0.0,625,31214569,1,144,2.2639829169036276,98.02616684550229,0.0,8.628197749459149,0.0,0,0,0,0,1,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,798,9737,10,0,7980,0.0,0.0,324,94809169,636804,100,2.102797552176702,125.69597112471548,38.03959671042976,9.183688340978756,6.682108597449809,0,0,1,0,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,4482,9,1,0,0.0,1.0,324,20088324,1,81,2.102797552176702,88.78563983466456,0.0,8.407824654360873,0.0,0,1,0,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,798,17685,9,0,7182,0.0,0.0,361,312759225,636804,81,2.1301824302037478,163.98239751077574,38.03959671042976,9.780472101639582,6.682108597449809,0,1,0,0,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,3287,5010,9,0,29583,0.0,0.0,324,25100100,10804369,81,2.102797552176702,93.34376422174391,71.43670475538185,8.51919119407891,8.097730573664219,0,1,0,0,0,0,0,0,0,0
1.0,26,1.0,0.0,1.0,1.0,1392,1460,11,0,15312,0.0,0.0,676,2131600,1937664,121,2.282415117138582,53.40316904980491,48.833468096874796,7.286191714702382,7.238496840894365,0,0,0,1,0,0,0,0,0,0
1.0,42,1.0,0.0,0.0,0.0,0,2456,12,1,0,0.0,1.0,1764,6031936,1,144,2.49467788908952,67.66936889187296,0.0,7.806289289267033,0.0,0,0,0,0,1,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,625,1,1,100,2.2639829169036276,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1.0,31,0.0,1.0,0.0,1.0,0,26817,9,1,0,1.0,0.0,961,719151489,1,81,2.3630349634285817,197.28651989675154,0.0,10.196791293755963,0.0,0,1,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,0,10,1,0,0.0,1.0,576,1,1,100,2.244618307819977,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
1.0,26,1.0,0.0,0.0,1.0,0,9265,10,1,0,0.0,1.0,676,85840225,1,100,2.282415117138582,122.93733190982265,0.0,9.13399913871946,0.0,0,0,1,0,0,0,0,0,0,0
1.0,20,1.0,0.0,0.0,0.0,377,1652,12,0,4524,0.0,0.0,400,2729104,142129,144,2.1558451386170456,56.50355155853487,27.0023034538976,7.409741954080923,5.932245187448011,0,0,0,0,1,0,0,0,0,0
1.0,19,0.0,0.0,0.0,1.0,5324,13829,10,0,53240,0.0,0.0,361,191241241,28344976,100,2.1301824302037478,146.9821542933511,88.25099501698533,9.534523115464658,8.579980179515003,0,0,1,0,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,485,11,1,0,0.0,1.0,625,235225,1,121,2.2639829169036276,32.061889134981485,0.0,6.184148890937483,0.0,0,0,0,1,0,0,0,0,0,0
1.0,23,0.0,0.0,1.0,1.0,1713,4232,8,0,13704,0.0,0.0,529,17909824,2934369,64,2.2242322106415826,86.52203831865896,53.56025434631834,8.350429973538136,7.44600149832412,1,0,0,0,0,0,0,0,0,0
1.0,31,0.0,0.0,0.0,0.0,2611,2484,12,0,31332,0.0,0.0,961,6170256,6817321,144,2.3630349634285817,68.01799342047045,64.54793269683961,7.81762544305337,7.8674885686991285,0,0,0,0,1,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,4814,11,1,0,0.0,1.0,324,23174596,1,121,2.102797552176702,91.68473387888011,0.0,8.479283618343016,0.0,0,0,0,1,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,7458,11,1,0,0.0,1.0,361,55621764,1,121,2.1301824302037478,111.57237502142598,0.0,8.917042560738766,0.0,0,0,0,1,0,0,0,0,0,0
1.0,43,1.0,0.0,0.0,1.0,0,0,9,1,0,0.0,1.0,1849,1,1,81,2.504494271737396,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
1.0,26,0.0,0.0,0.0,1.0,2226,13385,11,0,24486,0.0,0.0,676,179158225,4955076,121,2.282415117138582,144.8611938488868,60.15583547391973,9.501889955954454,7.70796153183549,0,0,0,1,0,0,0,0,0,0
1.0,29,0.0,1.0,0.0,1.0,8853,5112,10,0,88530,0.0,0.0,841,26132544,78375609,100,2.3328553384698867,94.19273595521297,110.14852162244439,8.53934599605737,9.08851166361105,0,0,1,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,1953,9,1,0,0.0,1.0,289,3814209,1,81,2.07346912282781,60.98094586136849,0.0,7.577121930876679,0.0,0,1,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,900,1,1,121,2.3482553378921756,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,156,10641,10,0,1560,0.0,0.0,289,113230881,24336,100,2.07346912282781,130.7771035201804,17.81120760105013,9.272469743441732,5.049856007249537,0,0,1,0,0,0,0,0,0,0
1.0,20,0.0,0.0,1.0,0.0,8644,11656,12,0,103728,0.0,0.0,400,135862336,74718736,144,2.1558451386170456,136.20111830653843,109.01020342129944,9.363576347875041,9.064620717626777,0,0,0,0,1,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,375,3621,9,0,3375,0.0,0.0,289,13111641,140625,81,2.07346912282781,80.65253980943076,26.93591779229759,8.19450550976564,5.926926025970411,0,1,0,0,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,0.0,562,0,12,0,6744,0.0,0.0,324,1,315844,144,2.102797552176702,0.0,32.439859173387326,0.0,6.331501849893691,0,0,0,0,1,0,0,0,0,0
1.0,21,0.0,1.0,0.0,1.0,1395,0,11,0,15345,0.0,0.0,441,1,1946025,121,2.179972317170379,0.0,48.880395790097495,0.0,7.240649694255466,0,0,0,1,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,1.0,1913,0,11,0,21043,0.0,0.0,900,1,3659569,121,2.3482553378921756,0.0,56.25116226979504,0.0,7.556427969440253,0,0,0,1,0,0,0,0,0,0
1.0,18,0.0,1.0,0.0,1.0,5491,2454,11,0,60401,0.0,0.0,324,6022116,30151081,121,2.102797552176702,67.64438194769882,89.45003808780513,7.805474625270857,8.610865667278873,0,0,0,1,0,0,0,0,0,0
1.0,20,1.0,0.0,0.0,0.0,9227,0,12,0,110724,0.0,0.0,400,1,85137529,144,2.1558451386170456,0.0,112.14761213693438,0.0,9.129889247578555,0,0,0,0,1,0,0,0,0,0
1.0,20,1.0,0.0,0.0,1.0,11073,0,10,0,110730,0.0,0.0,400,1,122611329,100,2.1558451386170456,0.0,121.39078406757737,0.0,9.312264991698108,0,0,1,0,0,0,0,0,0,0
1.0,17,0.0,0.0,0.0,1.0,1618,6011,9,0,14562,0.0,0.0,289,36132121,2617924,81,2.07346912282781,101.29615884947633,52.21869001391828,8.701346403039162,7.388946097618437,0,1,0,0,0,0,0,0,0,0
1.0,18,0.0,1.0,0.0,1.0,2589,0,10,0,25890,0.0,0.0,324,1,6702921,100,2.102797552176702,0.0,64.30740202944402,0.0,7.859026979751538,0,0,1,0,0,0,0,0,0,0
1.0,19,0.0,1.0,0.0,1.0,6511,7913,9,0,58599,0.0,0.0,361,62615569,42393121,81,2.1301824302037478,114.56800371516748,96.35565522843035,8.976262255609193,8.781248333236862,0,1,0,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,192,661,11,0,2112,0.0,0.0,361,436921,36864,121,2.1301824302037478,37.05624548020943,19.674306376319223,6.493753839851686,5.2574953720277815,0,0,0,1,0,0,0,0,0,0
