treat,age,agesq,education*,educsq,black,hispanic,married,nodegree,re74,re75,u75,u74,educ_re74,propensity_score,propensity_logit,re78
1.0,19,361,10,100,1.0,0.0,0.0,1.0,4121,6056,0,0,41210,0.7672106466021554,1.192627418707223,0
1.0,25,625,13,169,1.0,0.0,0.0,0.0,12362,3090,0,0,160706,0.8327556167063631,1.605284106074324,0
1.0,24,576,12,144,1.0,0.0,0.0,0.0,13765,2842,0,0,165180,0.8989441445869402,2.18554751406578,6167
1.0,19,361,11,121,0.0,1.0,1.0,1.0,5424,5463,0,0,59664,0.6687759430124038,0.7026540350419876,6788
1.0,29,841,10,100,0.0,1.0,0.0,1.0,0,8853,0,1,0,0.7653221420399798,1.1820830893710392,5112
1.0,22,484,12,144,0.0,1.0,1.0,0.0,492,7055,0,0,5904,0.44120865507412593,-0.23625823427461137,10092
1.0,26,676,12,144,1.0,0.0,1.0,0.0,8408,5794,0,0,100896,0.6820527288815379,0.7632214149917607,1424
1.0,42,1764,14,196,1.0,0.0,1.0,0.0,0,0,1,1,0,0.8969299998557451,2.1635694505004404,13167
1.0,19,361,10,100,0.0,0.0,0.0,1.0,0,5324,0,1,0,0.8941862210456766,2.134233307620416,13829
1.0,23,529,12,144,0.0,1.0,0.0,0.0,9385,1117,0,0,112620,0.9672308850779204,3.384950777693568,559
1.0,35,1225,9,81,1.0,0.0,1.0,1.0,13602,13830,0,0,122418,0.026464103712875303,-3.6051454597145907,12803
0.0,36,1296,8,64,1.0,0.0,1.0,1.0,0,5481,0,1,0,0.9902256536505475,4.618171616121881,8001
0.0,38,1444,8,64,1.0,0.0,1.0,1.0,6722,5872,0,0,53776,0.9456628919620935,2.8566787717365187,8148
0.0,38,1444,8,64,0.0,1.0,1.0,1.0,1052,4148,0,0,8416,0.9930958739273651,4.968707994735552,23231
0.0,33,1089,8,64,0.0,0.0,1.0,1.0,6792,4767,0,0,54336,0.981047711518134,3.946696405525528,10655
0.0,39,1521,7,49,0.0,1.0,1.0,1.0,603,5746,0,0,4221,0.9868594405030415,4.318824026627064,7645
0.0,30,900,8,64,0.0,0.0,1.0,1.0,3050,5329,0,0,24400,0.9863350836095018,4.279164437411851,13664
0.0,31,961,9,81,0.0,0.0,0.0,1.0,0,5394,0,1,0,0.9858020236792222,4.240356105268526,10388
0.0,21,441,8,64,0.0,0.0,1.0,1.0,88,7607,0,0,704,0.9084027896274381,2.2942870643824484,10282
0.0,27,729,7,49,0.0,0.0,1.0,1.0,8383,4112,0,0,58681,0.9856675238434286,4.230791078618337,9800
0.0,32,1024,8,64,0.0,0.0,0.0,1.0,7186,6149,0,0,57488,0.9520226926540389,2.98786073583462,8414
0.0,27,729,10,100,0.0,0.0,0.0,1.0,12349,5865,0,0,123490,0.8200894519891339,1.5169536502285703,9297
0.0,19,361,8,64,0.0,1.0,0.0,1.0,0,4431,0,1,0,0.9830262682599844,4.058968885080914,8823
0.0,31,961,10,100,0.0,0.0,1.0,1.0,6099,4260,0,0,60990,0.9708452870550313,3.5055505431758953,11756
0.0,29,841,10,100,0.0,0.0,1.0,1.0,713,4542,0,0,7130,0.980748021003263,3.9307017067724472,7781
0.0,34,1156,7,49,0.0,1.0,1.0,1.0,6896,5404,0,0,48272,0.9773039656972276,3.762607516238976,8396
0.0,25,625,10,100,0.0,0.0,1.0,1.0,4335,5181,0,0,43350,0.9393004020730011,2.73919827095028,12418
0.0,16,256,9,81,0.0,0.0,0.0,1.0,1534,4115,0,0,13806,0.9289555472582633,2.570755111490561,8016
0.0,35,1225,10,100,1.0,0.0,1.0,1.0,12842,6939,0,0,128420,0.6933784336007149,0.8159616259038532,8368
0.0,40,1600,7,49,0.0,1.0,1.0,1.0,7116,4355,0,0,49812,0.9759061707997888,3.7014106873895605,9959
0.0,33,1089,9,81,0.0,0.0,1.0,1.0,6177,4749,0,0,55593,0.9746429156264543,3.64901301007022,10072
0.0,30,900,11,121,1.0,0.0,1.0,1.0,356,3947,0,0,3916,0.9757983996654068,3.696837246852415,7329
0.0,18,324,10,100,0.0,0.0,0.0,1.0,0,5465,0,1,0,0.85679013047594,1.78888182660585,11419
0.0,19,361,10,100,0.0,0.0,0.0,1.0,1347,4681,0,0,13470,0.9141517272580214,2.3654150935883003,15569
0.0,18,324,10,100,0.0,0.0,1.0,1.0,4518,3983,0,0,45180,0.8990420313975009,2.18662550910453,14363
0.0,26,676,8,64,0.0,1.0,0.0,1.0,3168,5872,0,0,25344,0.9752311064037529,3.6730858997027833,11136
0.0,35,1225,7,49,0.0,0.0,1.0,1.0,5983,5992,0,0,41881,0.9701408610487195,3.4809503230279883,8795
0.0,36,1296,9,81,0.0,0.0,1.0,1.0,10572,5822,0,0,95148,0.8862029609052579,2.052529497031013,12909
0.0,34,1156,11,121,0.0,0.0,1.0,1.0,0,4010,0,1,0,0.9722798297936864,3.557483339260345,18133
0.0,31,961,13,169,0.0,0.0,1.0,0.0,12165,4103,0,0,158145,0.7677859584080872,1.1958514549066455,22773
0.0,28,784,9,81,0.0,0.0,0.0,1.0,7505,4896,0,0,67545,0.9646881082226896,3.3075850604300765,9919
0.0,27,729,7,49,0.0,0.0,1.0,1.0,9447,8421,0,0,66129,0.7526668983286765,1.1128867459697933,25564
0.0,25,625,10,100,0.0,0.0,1.0,1.0,8656,5147,0,0,86560,0.9034651718058136,2.2363337040443962,10666
0.0,22,484,12,144,0.0,0.0,0.0,0.0,5052,11067,0,0,60624,0.038822525335573906,-3.2091584409284817,10620
0.0,39,1521,12,144,0.0,0.0,1.0,0.0,16714,7793,0,0,200568,0.17342962667575448,-1.5615131526572448,25564
0.0,27,729,7,49,0.0,0.0,1.0,1.0,5513,6108,0,0,38591,0.9706791972236702,3.4996987733289444,15089
0.0,29,841,8,64,0.0,0.0,1.0,1.0,9169,6352,0,0,73352,0.9204759582476167,2.448831494264481,20575
0.0,33,1089,11,121,0.0,0.0,1.0,1.0,0,4175,0,1,0,0.9705856052548021,3.496415434386453,13398
0.0,37,1369,10,100,0.0,0.0,1.0,1.0,9132,4568,0,0,91320,0.9290148867507023,2.57165458066305,9940
0.0,17,289,9,81,0.0,0.0,0.0,1.0,1146,4520,0,0,10314,0.9339230150368395,2.6485735087166633,11904
0.0,42,1764,12,144,0.0,0.0,1.0,0.0,0,3931,0,1,0,0.8210662679121967,1.5235882967924026,14518
0.0,28,784,12,144,0.0,0.0,0.0,0.0,8256,5279,0,0,99072,0.7689511824398271,1.2023984659940252,21602
0.0,17,289,11,121,0.0,0.0,0.0,1.0,197,4065,0,0,2167,0.831717505386582,1.5978487635757008,14676
0.0,37,1369,10,100,0.0,0.0,1.0,1.0,9933,4984,0,0,99330,0.8997979368595957,2.1949814448543017,10562
0.0,23,529,13,169,0.0,0.0,1.0,0.0,5450,4189,0,0,70850,0.6690796891573927,0.7040255762114748,14914
0.0,32,1024,12,144,0.0,0.0,1.0,0.0,16158,4706,0,0,193896,0.7636496150954201,1.1727936792092895,12204
0.0,19,361,12,144,0.0,0.0,0.0,0.0,10523,5188,0,0,126276,0.44253273923945163,-0.23088932782380725,15765
0.0,18,324,12,144,0.0,0.0,0.0,0.0,3608,3965,0,0,43296,0.6821673956072686,0.7637502329288405,19941
0.0,27,729,7,49,0.0,0.0,1.0,1.0,10196,6638,0,0,71372,0.8957451486437279,2.1508175448113858,12117
0.0,34,1156,12,144,0.0,0.0,1.0,0.0,6643,4019,0,0,79716,0.8946012943845844,2.1386277825409157,25564
0.0,19,361,8,64,0.0,0.0,1.0,1.0,3405,4475,0,0,27240,0.9661607028618641,3.3517074150739625,17333
0.0,38,1444,12,144,0.0,0.0,1.0,0.0,10384,11637,0,0,124608,0.026511774246971424,-3.603296784459403,15959
